iyear,imonth,country_txt,region_txt,attacktype1_txt,targtype1_txt,weaptype1_txt,nkill,nwound,latitude,longitude,gname
2017,7,India,South Asia,Facility/Infrastructure Attack,Police,Firearms,0.0,0.0,33.652708,75.018035,Unknown
2014,8,India,South Asia,Facility/Infrastructure Attack,Private Citizens & Property,Firearms,0.0,0.0,26.519958,93.969764,National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM)
2017,12,India,South Asia,Facility/Infrastructure Attack,Religious Figures/Institutions,Incendiary,1.0,0.0,17.001086,81.80749,Unknown
2014,5,India,South Asia,Facility/Infrastructure Attack,Transportation,Sabotage Equipment,0.0,0.0,19.10747,81.969164,Maoists
2012,3,India,South Asia,Facility/Infrastructure Attack,Telecommunication,Incendiary,0.0,0.0,18.856056,82.734714,Maoists
2015,8,India,South Asia,Facility/Infrastructure Attack,Government (General),Incendiary,0.0,0.0,24.342235,93.696489,Unknown
2017,2,India,South Asia,Facility/Infrastructure Attack,Business,Incendiary,0.0,0.0,24.934373,83.611517,Maoists
2012,2,India,South Asia,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,2.0,0.0,23.076901,85.280578,People's Liberation Front of India
2010,4,India,South Asia,Facility/Infrastructure Attack,Business,Incendiary,0.0,0.0,17.68659,83.21824,Communist Party of India - Maoist (CPI-Maoist)
2015,9,India,South Asia,Facility/Infrastructure Attack,Government (General),Incendiary,0.0,0.0,20.148689,79.807611,Maoists
2016,12,India,South Asia,Facility/Infrastructure Attack,Government (General),Incendiary,0.0,0.0,24.869811,94.512567,Unknown
2009,10,India,South Asia,Facility/Infrastructure Attack,Government (General),Incendiary,0.0,0.0,22.610613,87.254276,Communist Party of India - Maoist (CPI-Maoist)
2012,2,India,South Asia,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,0.0,0.0,25.49546,90.61682,Garo National Liberation Army
2017,3,India,South Asia,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,0.0,0.0,24.383016,84.023169,Communist Party of India - Maoist (CPI-Maoist)
2009,5,India,South Asia,Facility/Infrastructure Attack,Government (General),Incendiary,0.0,0.0,34.08374,74.789902,Unknown
2009,6,India,South Asia,Facility/Infrastructure Attack,Police,Incendiary,0.0,0.0,22.404193,87.379866,People's Committee against Police Atrocities (PCPA)
2017,10,India,South Asia,Facility/Infrastructure Attack,Telecommunication,Incendiary,0.0,0.0,17.973986,82.088374,Communist Party of India - Maoist (CPI-Maoist)
2012,7,India,South Asia,Facility/Infrastructure Attack,Business,Incendiary,0.0,0.0,18.363526,81.895253,Maoists
2011,9,India,South Asia,Facility/Infrastructure Attack,Police,Incendiary,0.0,0.0,18.791667,80.816667,Communist Party of India - Maoist (CPI-Maoist)
2009,2,India,South Asia,Facility/Infrastructure Attack,Transportation,Incendiary,0.0,0.0,25.171812,86.106306,Communist Party of India - Maoist (CPI-Maoist)
2013,9,India,South Asia,Facility/Infrastructure Attack,Police,Incendiary,0.0,0.0,25.560949,91.86852,Unknown
2017,10,India,South Asia,Facility/Infrastructure Attack,Business,Firearms,0.0,0.0,23.722587,85.042245,Communist Party of India - Maoist (CPI-Maoist)
2017,1,India,South Asia,Facility/Infrastructure Attack,Business,Firearms,0.0,0.0,18.633597,80.379766,Maoists
2017,6,India,South Asia,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,0.0,0.0,11.77365,75.568395,Unknown
2016,11,India,South Asia,Facility/Infrastructure Attack,Government (General),Incendiary,0.0,0.0,33.946251,74.798309,Unknown
2012,6,India,South Asia,Facility/Infrastructure Attack,Government (General),Incendiary,0.0,0.0,20.237556,84.270018,Communist Party of India - Maoist (CPI-Maoist)
2013,4,India,South Asia,Facility/Infrastructure Attack,Telecommunication,Incendiary,0.0,0.0,18.547731,82.219398,Communist Party of India - Maoist (CPI-Maoist)
2015,6,India,South Asia,Facility/Infrastructure Attack,Business,Incendiary,0.0,0.0,20.654336,82.796725,Maoists
2016,9,India,South Asia,Facility/Infrastructure Attack,Religious Figures/Institutions,Incendiary,0.0,0.0,12.916517,79.132499,Unknown
2014,8,India,South Asia,Facility/Infrastructure Attack,Private Citizens & Property,Firearms,0.0,0.0,26.519958,93.969764,National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM)
2016,2,India,South Asia,Facility/Infrastructure Attack,Business,Incendiary,0.0,0.0,25.251157,85.08094,Communist Party of India - Maoist (CPI-Maoist)
2010,10,India,South Asia,Facility/Infrastructure Attack,Private Citizens & Property,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",0.0,0.0,23.16,85.586935,Tritiya Prastuti Committee (TPC)
2011,5,India,South Asia,Facility/Infrastructure Attack,Business,Incendiary,0.0,0.0,24.912013,85.015439,Communist Party of India - Maoist (CPI-Maoist)
2009,1,India,South Asia,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,0.0,0.0,23.125237,84.469438,Communist Party of India - Maoist (CPI-Maoist)
2011,8,India,South Asia,Facility/Infrastructure Attack,Transportation,Sabotage Equipment,0.0,0.0,26.424942,90.320993,National Democratic Front of Bodoland (NDFB)
2016,11,India,South Asia,Facility/Infrastructure Attack,Educational Institution,Incendiary,0.0,0.0,34.205605,74.353867,Unknown
2014,2,India,South Asia,Facility/Infrastructure Attack,Private Citizens & Property,Firearms,0.0,0.0,23.602689,85.542244,Maoists
2009,6,India,South Asia,Facility/Infrastructure Attack,Police,Incendiary,0.0,0.0,22.404193,87.379866,People's Committee against Police Atrocities (PCPA)
2010,9,India,South Asia,Facility/Infrastructure Attack,Transportation,Incendiary,0.0,0.0,26.62906,85.326622,Communist Party of India - Maoist (CPI-Maoist)
2017,7,India,South Asia,Facility/Infrastructure Attack,Government (General),Incendiary,0.0,0.0,26.704306,88.412507,Gorkha Janmukti Morcha (GJM)
2015,8,India,South Asia,Facility/Infrastructure Attack,Business,Incendiary,0.0,0.0,19.455967,81.238101,Maoists
2016,10,India,South Asia,Facility/Infrastructure Attack,Transportation,Incendiary,0.0,0.0,33.732216,75.157913,Tehrik-e-Hurriyat (TeH)
2017,2,India,South Asia,Facility/Infrastructure Attack,Business,Incendiary,0.0,0.0,23.04413,84.537946,Tritiya Prastuti Committee (TPC)
2017,12,India,South Asia,Facility/Infrastructure Attack,Business,Incendiary,0.0,0.0,18.221027,82.703111,Maoists
2017,2,India,South Asia,Facility/Infrastructure Attack,Business,Incendiary,0.0,0.0,24.297477,85.162195,Maoists
2010,2,India,South Asia,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,0.0,0.0,22.450177,86.899792,Communist Party of India - Maoist (CPI-Maoist)
2009,9,India,South Asia,Facility/Infrastructure Attack,Business,Incendiary,0.0,0.0,22.569452,84.810158,Communist Party of India - Maoist (CPI-Maoist)
2012,3,India,South Asia,Facility/Infrastructure Attack,Business,Incendiary,0.0,0.0,20.8167,82.5333,Communist Party of India - Maoist (CPI-Maoist)
2010,4,India,South Asia,Facility/Infrastructure Attack,Transportation,Incendiary,0.0,0.0,17.686294,83.218955,Communist Party of India - Maoist (CPI-Maoist)
2017,4,India,South Asia,Facility/Infrastructure Attack,Business,Unknown,0.0,0.0,24.669947,84.772732,Tritiya Prastuti Committee (TPC)
2015,1,India,South Asia,Facility/Infrastructure Attack,Transportation,Sabotage Equipment,0.0,0.0,18.883191,81.348675,Maoists
2015,5,India,South Asia,Facility/Infrastructure Attack,Government (General),Unknown,0.0,0.0,24.374687,93.695924,Unknown
2016,11,India,South Asia,Facility/Infrastructure Attack,Educational Institution,Incendiary,0.0,0.0,33.789502,75.243534,Unknown
2009,6,India,South Asia,Facility/Infrastructure Attack,Police,Incendiary,0.0,0.0,22.585272,87.049698,Communist Party of India - Maoist (CPI-Maoist)
2017,8,India,South Asia,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,0.0,0.0,25.57916,91.870251,Unknown
2011,2,India,South Asia,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,0.0,0.0,26.122892,85.368365,Communist Party of India - Maoist (CPI-Maoist)
2017,8,India,South Asia,Facility/Infrastructure Attack,Government (General),Incendiary,0.0,0.0,27.070337,88.192233,Gorkha Janmukti Morcha (GJM)
2009,6,India,South Asia,Facility/Infrastructure Attack,Police,Incendiary,0.0,0.0,22.404193,87.379866,People's Committee against Police Atrocities (PCPA)
2017,6,India,South Asia,Facility/Infrastructure Attack,Police,Incendiary,0.0,0.0,27.071369,88.475206,Gorkha Janmukti Morcha (GJM)
2017,7,India,South Asia,Facility/Infrastructure Attack,Government (General),Unknown,0.0,0.0,27.040663,88.26152,Gorkha Janmukti Morcha (GJM)
2009,7,India,South Asia,Facility/Infrastructure Attack,Violent Political Party,Sabotage Equipment,0.0,0.0,22.609739,87.253142,Communist Party of India - Maoist (CPI-Maoist)
2011,4,India,South Asia,Facility/Infrastructure Attack,Business,Incendiary,0.0,0.0,23.041512,84.544486,Communist Party of India - Maoist (CPI-Maoist)
2011,2,India,South Asia,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,0.0,0.0,25.985563,85.042387,Communist Party of India - Maoist (CPI-Maoist)
2011,4,India,South Asia,Facility/Infrastructure Attack,Business,Incendiary,0.0,0.0,24.798346,93.94043,Unknown
2011,12,India,South Asia,Facility/Infrastructure Attack,Business,Incendiary,0.0,0.0,26.590179,85.494267,Communist Party of India - Maoist (CPI-Maoist)
2016,1,India,South Asia,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,0.0,0.0,9.925267,78.119732,Unknown
2013,1,India,South Asia,Facility/Infrastructure Attack,Business,Incendiary,0.0,0.0,20.244683,80.282758,Maoists
2017,4,India,South Asia,Facility/Infrastructure Attack,Telecommunication,Incendiary,0.0,0.0,22.890832,85.513136,Communist Party of India - Maoist (CPI-Maoist)
2017,2,India,South Asia,Facility/Infrastructure Attack,Transportation,Incendiary,0.0,0.0,18.860831,80.721442,Maoists
2009,5,India,South Asia,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,0.0,0.0,25.16331,93.012824,Unknown
2015,8,India,South Asia,Facility/Infrastructure Attack,Government (General),Incendiary,0.0,0.0,24.342235,93.696489,Unknown
2016,10,India,South Asia,Facility/Infrastructure Attack,Educational Institution,Incendiary,0.0,0.0,33.622576,74.996804,Unknown
2016,2,India,South Asia,Facility/Infrastructure Attack,Business,Incendiary,0.0,0.0,25.284933,84.938463,Communist Party of India - Maoist (CPI-Maoist)
2016,12,India,South Asia,Facility/Infrastructure Attack,Government (General),Incendiary,0.0,0.0,16.662934,81.337191,Maoists
2017,1,India,South Asia,Facility/Infrastructure Attack,Business,Incendiary,0.0,0.0,24.883753,83.902951,Tritiya Prastuti Committee (TPC)
2017,12,India,South Asia,Facility/Infrastructure Attack,Business,Incendiary,0.0,0.0,24.442418,84.398754,Maoists
2017,3,India,South Asia,Facility/Infrastructure Attack,Police,Unknown,0.0,0.0,33.7167,74.8333,Unknown
2017,4,India,South Asia,Facility/Infrastructure Attack,Business,Incendiary,0.0,4.0,19.901015,83.49769,Maoists
2009,3,India,South Asia,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,0.0,0.0,22.008698,86.418731,Communist Party of India - Maoist (CPI-Maoist)
2009,3,India,South Asia,Facility/Infrastructure Attack,Transportation,Incendiary,0.0,0.0,25.314437,86.542191,Communist Party of India - Maoist (CPI-Maoist)
2015,12,India,South Asia,Facility/Infrastructure Attack,Transportation,Incendiary,0.0,0.0,23.937371,84.545807,Communist Party of India - Maoist (CPI-Maoist)
2016,9,India,South Asia,Facility/Infrastructure Attack,Private Citizens & Property,Firearms,0.0,0.0,33.68553,75.164868,Separatists
2015,4,India,South Asia,Facility/Infrastructure Attack,Business,Firearms,0.0,0.0,20.271481,81.490233,Maoists
2017,3,India,South Asia,Facility/Infrastructure Attack,Business,Incendiary,0.0,0.0,19.590489,83.270526,Maoists
2009,7,India,South Asia,Facility/Infrastructure Attack,Business,Incendiary,0.0,0.0,24.781467,84.986412,Communist Party of India - Maoist (CPI-Maoist)
2011,5,India,South Asia,Facility/Infrastructure Attack,Business,Incendiary,0.0,0.0,24.204235,84.870937,Communist Party of India - Maoist (CPI-Maoist)
2015,3,India,South Asia,Facility/Infrastructure Attack,Police,Unknown,0.0,0.0,18.284592,81.214325,Maoists
2011,12,India,South Asia,Facility/Infrastructure Attack,Telecommunication,Incendiary,0.0,0.0,26.112071,85.373064,Maoists
2010,1,India,South Asia,Facility/Infrastructure Attack,Transportation,Incendiary,0.0,0.0,16.690933,79.567945,Communist Party of India - Maoist (CPI-Maoist)
2009,6,India,South Asia,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,0.0,0.0,23.02803,86.360486,Communist Party of India - Maoist (CPI-Maoist)
2009,7,India,South Asia,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,0.0,0.0,27.206273,94.15188,National Socialist Council of Nagaland-Khaplang (NSCN-K)
2017,10,India,South Asia,Facility/Infrastructure Attack,Business,Firearms,0.0,0.0,33.836186,75.085516,Hizbul Mujahideen (HM)
2015,11,India,South Asia,Facility/Infrastructure Attack,Business,Incendiary,0.0,3.0,24.17084,84.657488,Maoists
2009,8,India,South Asia,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,0.0,4.0,25.502127,92.341887,Unknown
2015,11,India,South Asia,Facility/Infrastructure Attack,Transportation,Unknown,0.0,0.0,18.391134,81.659273,Communist Party of India - Maoist (CPI-Maoist)
2013,7,India,South Asia,Facility/Infrastructure Attack,Religious Figures/Institutions,Incendiary,0.0,0.0,11.087281,76.939387,Unknown
2015,7,India,South Asia,Facility/Infrastructure Attack,Government (General),Incendiary,0.0,0.0,15.800344,73.732776,Maoists
2015,8,India,South Asia,Facility/Infrastructure Attack,Government (General),Incendiary,0.0,0.0,24.342235,93.696489,Unknown
2014,11,India,South Asia,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,0.0,0.0,10.786999,79.137827,Unknown
2013,12,India,South Asia,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,0.0,0.0,26.657154,92.102056,Unknown
2013,12,India,South Asia,Facility/Infrastructure Attack,Business,Firearms,0.0,0.0,24.885126,84.874189,Communist Party of India - Maoist (CPI-Maoist)
2017,12,India,South Asia,Facility/Infrastructure Attack,Business,Firearms,0.0,0.0,18.464464,82.355801,Maoists
2012,4,India,South Asia,Facility/Infrastructure Attack,Telecommunication,Incendiary,0.0,0.0,18.933338,83.257291,Maoists
2013,2,India,South Asia,Facility/Infrastructure Attack,Educational Institution,Incendiary,0.0,0.0,24.680089,94.048449,Unknown
2008,6,India,South Asia,Facility/Infrastructure Attack,Terrorists/Non-State Militia,Incendiary,0.0,0.0,25.906267,93.72759,Unknown
2009,6,India,South Asia,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,5.0,1.0,25.270327,92.906448,Black Widows
2014,4,India,South Asia,Facility/Infrastructure Attack,Government (General),Incendiary,0.0,0.0,34.08374,74.789902,Unknown
2012,2,India,South Asia,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,0.0,0.0,25.998206,91.801107,Unknown
2011,11,India,South Asia,Facility/Infrastructure Attack,Government (General),Incendiary,0.0,0.0,19.966708,75.020225,Maoists
2009,10,India,South Asia,Facility/Infrastructure Attack,Government (General),Incendiary,0.0,0.0,22.535522,88.680791,People's Committee against Police Atrocities (PCPA)
2017,3,India,South Asia,Facility/Infrastructure Attack,Government (General),Unknown,0.0,0.0,24.324429,94.009591,Tribesmen
2017,8,India,South Asia,Facility/Infrastructure Attack,Government (General),Incendiary,0.0,0.0,27.067325,88.46688,Gorkha Janmukti Morcha (GJM)
2014,8,India,South Asia,Facility/Infrastructure Attack,Private Citizens & Property,Firearms,0.0,0.0,26.519958,93.969764,National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM)
2016,10,India,South Asia,Facility/Infrastructure Attack,Private Citizens & Property,Firearms,0.0,0.0,23.517408,84.666236,People's Liberation Front of India
2015,8,India,South Asia,Facility/Infrastructure Attack,Transportation,Unknown,0.0,0.0,18.153452,81.508949,Maoists
2009,8,India,South Asia,Facility/Infrastructure Attack,Government (General),Incendiary,0.0,0.0,24.798346,93.94043,Unknown
2008,6,India,South Asia,Facility/Infrastructure Attack,Telecommunication,Incendiary,0.0,0.0,24.781467,84.986412,Maoists
2016,12,India,South Asia,Facility/Infrastructure Attack,Educational Institution,Incendiary,0.0,0.0,34.216496,74.771943,Unknown
2012,10,India,South Asia,Facility/Infrastructure Attack,Educational Institution,Incendiary,0.0,0.0,25.578721,91.893201,Unknown
2017,2,India,South Asia,Facility/Infrastructure Attack,Business,Firearms,0.0,0.0,21.051944,83.381111,Communist Party of India - Maoist (CPI-Maoist)
2010,2,India,South Asia,Facility/Infrastructure Attack,Business,Incendiary,0.0,0.0,24.749905,84.370896,Communist Party of India - Maoist (CPI-Maoist)
2011,8,India,South Asia,Facility/Infrastructure Attack,Transportation,Sabotage Equipment,0.0,0.0,26.398022,90.269415,National Democratic Front of Bodoland (NDFB)
2011,6,India,South Asia,Facility/Infrastructure Attack,Business,Incendiary,0.0,0.0,26.638547,85.070747,Communist Party of India - Maoist (CPI-Maoist)
2009,2,India,South Asia,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,0.0,0.0,18.578762,82.281954,Communist Party of India - Maoist (CPI-Maoist)
2011,2,India,South Asia,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,0.0,0.0,25.985563,85.042387,Communist Party of India - Maoist (CPI-Maoist)
2013,12,India,South Asia,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,0.0,0.0,26.657154,92.102056,Unknown
2011,2,India,South Asia,Facility/Infrastructure Attack,Business,Incendiary,0.0,0.0,25.561362,84.309496,Communist Party of India - Maoist (CPI-Maoist)
2017,7,India,South Asia,Facility/Infrastructure Attack,Business,Incendiary,0.0,0.0,23.483996,85.47904,People's Liberation Front of India
2009,8,India,South Asia,Facility/Infrastructure Attack,Government (General),Incendiary,0.0,0.0,22.423874,87.318805,Communist Party of India - Maoist (CPI-Maoist)
2017,5,India,South Asia,Facility/Infrastructure Attack,Business,Firearms,0.0,0.0,33.894086,74.857241,Unknown
2013,2,India,South Asia,Facility/Infrastructure Attack,Educational Institution,Incendiary,0.0,0.0,26.072512,90.588679,Unknown
2015,10,India,South Asia,Facility/Infrastructure Attack,Transportation,Incendiary,0.0,0.0,18.860831,80.721442,Maoists
2012,6,India,South Asia,Facility/Infrastructure Attack,Government (General),Incendiary,0.0,0.0,20.237556,84.270018,Communist Party of India - Maoist (CPI-Maoist)
2017,6,India,South Asia,Facility/Infrastructure Attack,Government (General),Incendiary,0.0,0.0,27.075586,88.460174,Gorkha Janmukti Morcha (GJM)
2011,2,India,South Asia,Facility/Infrastructure Attack,Police,Incendiary,0.0,0.0,20.134204,84.016742,Communist Party of India - Maoist (CPI-Maoist)
2011,6,India,South Asia,Facility/Infrastructure Attack,Business,Incendiary,0.0,0.0,23.43,84.68,Communist Party of India - Maoist (CPI-Maoist)
2015,8,India,South Asia,Facility/Infrastructure Attack,Government (General),Incendiary,0.0,0.0,24.342235,93.696489,Unknown
2017,5,India,South Asia,Facility/Infrastructure Attack,Telecommunication,Incendiary,0.0,0.0,24.978914,86.305397,Maoists
2014,4,India,South Asia,Facility/Infrastructure Attack,Government (General),Firearms,0.0,0.0,18.505515,81.555435,Maoists
2017,4,India,South Asia,Facility/Infrastructure Attack,Business,Incendiary,0.0,0.0,18.236111,82.37,Communist Party of India - Maoist (CPI-Maoist)
2015,5,India,South Asia,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,0.0,0.0,24.128611,84.185711,Maoists
2016,9,India,South Asia,Facility/Infrastructure Attack,Violent Political Party,Incendiary,0.0,0.0,10.291039,77.876607,Muslim extremists
2011,4,India,South Asia,Facility/Infrastructure Attack,Telecommunication,Incendiary,1.0,0.0,24.764688,86.337676,Communist Party of India - Maoist (CPI-Maoist)
2012,11,India,South Asia,Facility/Infrastructure Attack,Business,Incendiary,0.0,0.0,20.515545,84.118266,Maoists
2011,2,India,South Asia,Facility/Infrastructure Attack,Business,Incendiary,0.0,0.0,17.753365,81.374123,Communist Party of India - Maoist (CPI-Maoist)
2017,7,India,South Asia,Facility/Infrastructure Attack,Police,Incendiary,0.0,0.0,13.048631,80.249496,Unknown
2008,6,India,South Asia,Facility/Infrastructure Attack,Transportation,Sabotage Equipment,0.0,0.0,18.9,81.35,Communist Party of India - Maoist (CPI-Maoist)
2010,12,India,South Asia,Facility/Infrastructure Attack,Telecommunication,Incendiary,0.0,0.0,19.398378,84.272651,Communist Party of India - Maoist (CPI-Maoist)
2010,7,India,South Asia,Facility/Infrastructure Attack,Transportation,Incendiary,0.0,0.0,20.181843,80.006844,Communist Party of India - Maoist (CPI-Maoist)
2012,6,India,South Asia,Facility/Infrastructure Attack,Government (General),Incendiary,0.0,0.0,20.75041,82.862716,Communist Party of India - Maoist (CPI-Maoist)
2009,12,India,South Asia,Facility/Infrastructure Attack,Transportation,Incendiary,0.0,0.0,22.424109,87.318986,Maoist Communist Center (MCC)
2013,11,India,South Asia,Facility/Infrastructure Attack,Business,Incendiary,0.0,4.0,23.805921,86.415512,Communist Party of India - Maoist (CPI-Maoist)
2017,7,India,South Asia,Facility/Infrastructure Attack,Government (General),Incendiary,0.0,0.0,26.892607,88.278829,Gorkha Janmukti Morcha (GJM)
2017,7,India,South Asia,Facility/Infrastructure Attack,Government (General),Incendiary,0.0,0.0,26.892911,88.278832,Gorkha Janmukti Morcha (GJM)
2015,4,India,South Asia,Facility/Infrastructure Attack,Business,Firearms,0.0,0.0,23.907766,85.513586,Maoists
2015,1,India,South Asia,Hijacking,Transportation,Unknown,0.0,0.0,18.793259,81.624146,Communist Party of India - Maoist (CPI-Maoist)
2010,2,India,South Asia,Hijacking,Transportation,Incendiary,0.0,0.0,24.798346,93.94043,Unknown
2008,7,India,South Asia,Hijacking,Transportation,Firearms,0.0,0.0,24.798346,93.94043,Kanglei Yawol Kanna Lup (KYKL)
2009,10,India,South Asia,Hijacking,Transportation,Firearms,0.0,1.0,22.424109,87.318986,People's Committee against Police Atrocities (PCPA)
2016,10,India,South Asia,Hostage Taking (Barricade Incident),Transportation,Firearms,0.0,0.0,23.669296,86.151112,Communist Party of India - Maoist (CPI-Maoist)
2015,6,India,South Asia,Hostage Taking (Barricade Incident),Private Citizens & Property,Unknown,1.0,0.0,18.350142,81.887401,Maoists
2013,5,India,South Asia,Hostage Taking (Barricade Incident),Private Citizens & Property,Melee,1.0,2.0,18.800937,80.816753,Maoists
2016,11,India,South Asia,Hostage Taking (Barricade Incident),Military,Explosives,10.0,0.0,32.798325,74.915164,Jaish-e-Mohammad (JeM)
2012,4,India,South Asia,Hostage Taking (Barricade Incident),Business,Firearms,0.0,0.0,24.165471,86.223142,Maoists
2017,12,India,South Asia,Hostage Taking (Barricade Incident),Business,Firearms,0.0,0.0,22.634353,85.811241,Unknown
2016,5,India,South Asia,Hostage Taking (Barricade Incident),Business,Firearms,0.0,0.0,24.970643,84.970406,Revolutionary Communist Centre (RCC)
2017,12,India,South Asia,Hostage Taking (Barricade Incident),Business,Firearms,0.0,0.0,23.676668,84.804716,People's Liberation Front of India
2010,10,India,South Asia,Hostage Taking (Kidnapping),Government (General),Incendiary,0.0,0.0,24.749905,84.370896,Communist Party of India - Maoist (CPI-Maoist)
2016,5,India,South Asia,Hostage Taking (Kidnapping),Military,Firearms,1.0,0.0,34.435335,74.12453,Separatists
2010,7,India,South Asia,Hostage Taking (Kidnapping),Government (General),Firearms,2.0,0.0,22.291444,86.928606,Communist Party of India - Maoist (CPI-Maoist)
2014,1,India,South Asia,Hostage Taking (Kidnapping),Government (General),Firearms,0.0,0.0,25.225131,90.376661,Garo National Liberation Army
2009,3,India,South Asia,Hostage Taking (Kidnapping),Private Citizens & Property,Unknown,0.0,0.0,24.798346,93.94043,Unknown
2016,11,India,South Asia,Hostage Taking (Kidnapping),Private Citizens & Property,Melee,0.0,1.0,30.898024,75.860077,Unknown
2015,5,India,South Asia,Hostage Taking (Kidnapping),Government (General),Unknown,0.0,0.0,24.663717,93.906269,National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM)
2015,3,India,South Asia,Hostage Taking (Kidnapping),Private Citizens & Property,Firearms,2.0,3.0,22.576584,85.464468,Communist Party of India - Maoist (CPI-Maoist)
2016,4,India,South Asia,Hostage Taking (Kidnapping),Private Citizens & Property,Melee,1.0,0.0,19.59336,81.663485,Maoists
2010,5,India,South Asia,Hostage Taking (Kidnapping),Private Citizens & Property,Firearms,2.0,0.0,22.451393,86.992203,Communist Party of India - Maoist (CPI-Maoist)
2017,8,India,South Asia,Hostage Taking (Kidnapping),Private Citizens & Property,Firearms,1.0,0.0,25.18041,86.259059,Maoists
2009,3,India,South Asia,Hostage Taking (Kidnapping),Private Citizens & Property,Unknown,4.0,0.0,18.60542,80.356985,Communist Party of India - Maoist (CPI-Maoist)
2014,7,India,South Asia,Hostage Taking (Kidnapping),Private Citizens & Property,Firearms,1.0,0.0,20.30052,85.822303,Maoists
2011,1,India,South Asia,Hostage Taking (Kidnapping),Police,Unknown,0.0,0.0,19.723535,81.242411,Communist Party of India - Maoist (CPI-Maoist)
2014,3,India,South Asia,Hostage Taking (Kidnapping),Private Citizens & Property,Melee,1.0,0.0,24.889276,86.232693,Communist Party of India - Maoist (CPI-Maoist)
2017,10,India,South Asia,Hostage Taking (Kidnapping),Private Citizens & Property,Melee,1.0,0.0,18.142348,81.587167,Communist Party of India - Maoist (CPI-Maoist)
2009,5,India,South Asia,Hostage Taking (Kidnapping),Business,Unknown,0.0,0.0,26.700185,92.500172,Unknown
2014,11,India,South Asia,Hostage Taking (Kidnapping),Private Citizens & Property,Firearms,0.0,1.0,26.478903,90.556607,National Democratic Front of Bodoland (NDFB)
2017,10,India,South Asia,Hostage Taking (Kidnapping),Private Citizens & Property,Firearms,1.0,0.0,18.088194,81.7043,Maoists
2011,9,India,South Asia,Hostage Taking (Kidnapping),Private Citizens & Property,Firearms,0.0,0.0,23.919906,91.850304,National Liberation Front of Tripura (NLFT)
2009,8,India,South Asia,Hostage Taking (Kidnapping),Private Citizens & Property,Firearms,1.0,0.0,22.408038,87.381073,Communist Party of India - Maoist (CPI-Maoist)
2009,9,India,South Asia,Hostage Taking (Kidnapping),Police,Melee,1.0,0.0,23.075278,85.278889,Communist Party of India - Maoist (CPI-Maoist)
2015,6,India,South Asia,Hostage Taking (Kidnapping),Private Citizens & Property,Unknown,0.0,0.0,25.594153,91.882289,Hynniewtrep National Liberation Council (HNLC)
2011,10,India,South Asia,Hostage Taking (Kidnapping),Police,Firearms,1.0,2.0,25.570455,90.218384,Garo National Liberation Army
2013,11,India,South Asia,Hostage Taking (Kidnapping),Business,Firearms,0.0,0.0,24.585433,92.589132,United Democratic Liberation Army (UDLA)
2015,5,India,South Asia,Hostage Taking (Kidnapping),Business,Firearms,0.0,0.0,19.175051,81.246376,Maoists
2012,7,India,South Asia,Hostage Taking (Kidnapping),Government (General),Firearms,0.0,1.0,23.540541,74.442253,Maoists
2016,10,India,South Asia,Hostage Taking (Kidnapping),Private Citizens & Property,Firearms,0.0,0.0,25.187318,90.480013,Achik Songna An'pachakgipa Kotok (ASAK)
2013,11,India,South Asia,Hostage Taking (Kidnapping),Private Citizens & Property,Firearms,2.0,0.0,17.870755,82.350995,Maoists
2011,8,India,South Asia,Hostage Taking (Kidnapping),Private Citizens & Property,Unknown,0.0,0.0,25.465052,85.761975,Communist Party of India - Maoist (CPI-Maoist)
2008,6,India,South Asia,Hostage Taking (Kidnapping),Government (General),Unknown,0.0,0.0,27.086765,93.60872,Unknown
2008,7,India,South Asia,Hostage Taking (Kidnapping),Terrorists/Non-State Militia,Unknown,0.0,0.0,25.2727,94.0265,National Socialist Council of Nagaland-Khaplang (NSCN-K)
